date,food
2013-02-24,96
2013-03-03,94
2013-03-10,96
2013-03-17,94
2013-03-24,96
2013-03-31,93
2013-04-07,97
2013-04-14,93
2013-04-21,96
2013-04-28,95
2013-05-05,96
2013-05-12,97
2013-05-19,96
2013-05-26,96
2013-06-02,96
2013-06-09,95
2013-06-16,96
2013-06-23,97
2013-06-30,97
2013-07-07,94
2013-07-14,92
2013-07-21,93
2013-07-28,93
2013-08-04,92
2013-08-11,94
2013-08-18,91
2013-08-25,92
2013-09-01,90
2013-09-08,89
2013-09-15,92
2013-09-22,91
2013-09-29,94
2013-10-06,94
2013-10-13,99
2013-10-20,94
2013-10-27,94
2013-11-03,94
2013-11-10,96
2013-11-17,100
2013-11-24,97
2013-12-01,86
2013-12-08,90
2013-12-15,89
2013-12-22,93
2013-12-29,93
2014-01-05,93
2014-01-12,96
2014-01-19,96
2014-01-26,100
2014-02-02,93
2014-02-09,91
2014-02-16,91
2014-02-23,96
2014-03-02,93
2014-03-09,96
2014-03-16,92
2014-03-23,94
2014-03-30,94
2014-04-06,96
2014-04-13,95
2014-04-20,96
2014-04-27,95
2014-05-04,99
2014-05-11,98
2014-05-18,95
2014-05-25,96
2014-06-01,94
2014-06-08,92
2014-06-15,93
2014-06-22,93
2014-06-29,97
2014-07-06,95
2014-07-13,96
2014-07-20,98
2014-07-27,96
2014-08-03,98
2014-08-10,93
2014-08-17,95
2014-08-24,92
2014-08-31,95
2014-09-07,92
2014-09-14,96
2014-09-21,96
2014-09-28,96
2014-10-05,93
2014-10-12,95
2014-10-19,95
2014-10-26,95
2014-11-02,96
2014-11-09,95
2014-11-16,100
2014-11-23,94
2014-11-30,92
2014-12-07,92
2014-12-14,92
2014-12-21,96
2014-12-28,95
2015-01-04,87
2015-01-11,83
2015-01-18,84
2015-01-25,87
2015-02-01,84
2015-02-08,85
2015-02-15,85
2015-02-22,91
2015-03-01,89
2015-03-08,88
2015-03-15,88
2015-03-22,87
2015-03-29,90
2015-04-05,90
2015-04-12,90
2015-04-19,91
2015-04-26,90
2015-05-03,89
2015-05-10,91
2015-05-17,90
2015-05-24,91
2015-05-31,93
2015-06-07,94
2015-06-14,90
2015-06-21,92
2015-06-28,92
2015-07-05,93
2015-07-12,95
2015-07-19,97
2015-07-26,94
2015-08-02,95
2015-08-09,94
2015-08-16,92
2015-08-23,90
2015-08-30,94
2015-09-06,92
2015-09-13,94
2015-09-20,92
2015-09-27,93
2015-10-04,92
2015-10-11,94
2015-10-18,91
2015-10-25,92
2015-11-01,95
2015-11-08,95
2015-11-15,96
2015-11-22,93
2015-11-29,87
2015-12-06,91
2015-12-13,92
2015-12-20,95
2015-12-27,100
2016-01-03,76
2016-01-10,73
2016-01-17,74
2016-01-24,75
2016-01-31,76
2016-02-07,74
2016-02-14,75
2016-02-21,78
2016-02-28,76
2016-03-06,78
2016-03-13,79
2016-03-20,81
2016-03-27,80
2016-04-03,81
2016-04-10,82
2016-04-17,81
2016-04-24,78
2016-05-01,83
2016-05-08,81
2016-05-15,84
2016-05-22,82
2016-05-29,82
2016-06-05,78
2016-06-12,78
2016-06-19,79
2016-06-26,84
2016-07-03,84
2016-07-10,81
2016-07-17,81
2016-07-24,80
2016-07-31,82
2016-08-07,76
2016-08-14,78
2016-08-21,78
2016-08-28,80
2016-09-04,82
2016-09-11,80
2016-09-18,82
2016-09-25,81
2016-10-02,79
2016-10-09,79
2016-10-16,82
2016-10-23,83
2016-10-30,82
2016-11-06,78
2016-11-13,85
2016-11-20,84
2016-11-27,80
2016-12-04,82
2016-12-11,82
2016-12-18,83
2016-12-25,100
2017-01-01,82
2017-01-08,79
2017-01-15,78
2017-01-22,80
2017-01-29,83
2017-02-05,79
2017-02-12,79
2017-02-19,80
2017-02-26,84
2017-03-05,85
2017-03-12,84
2017-03-19,84
2017-03-26,84
2017-04-02,86
2017-04-09,87
2017-04-16,86
2017-04-23,85
2017-04-30,89
2017-05-07,86
2017-05-14,85
2017-05-21,87
2017-05-28,89
2017-06-04,89
2017-06-11,90
2017-06-18,88
2017-06-25,91
2017-07-02,94
2017-07-09,92
2017-07-16,93
2017-07-23,93
2017-07-30,92
2017-08-06,91
2017-08-13,88
2017-08-20,83
2017-08-27,88
2017-09-03,86
2017-09-10,87
2017-09-17,86
2017-09-24,87
2017-10-01,89
2017-10-08,91
2017-10-15,90
2017-10-22,89
2017-10-29,88
2017-11-05,89
2017-11-12,90
2017-11-19,91
2017-11-26,82
2017-12-03,86
2017-12-10,84
2017-12-17,89
2017-12-24,100
2017-12-31,92
2018-01-07,77
2018-01-14,78
2018-01-21,76
2018-01-28,79
2018-02-04,77
2018-02-11,81
2018-02-18,82
2018-02-25,82
2018-03-04,81
2018-03-11,83
2018-03-18,82
2018-03-25,84
2018-04-01,82
2018-04-08,83
2018-04-15,83
2018-04-22,84
2018-04-29,83
2018-05-06,84
2018-05-13,84
2018-05-20,83
2018-05-27,86
2018-06-03,87
2018-06-10,87
2018-06-17,85
2018-06-24,87
2018-07-01,91
2018-07-08,90
2018-07-15,91
2018-07-22,89
2018-07-29,91
2018-08-05,91
2018-08-12,88
2018-08-19,85
2018-08-26,85
2018-09-02,86
2018-09-09,82
2018-09-16,83
2018-09-23,84
2018-09-30,85
2018-10-07,84
2018-10-14,83
2018-10-21,82
2018-10-28,84
2018-11-04,84
2018-11-11,85
2018-11-18,86
2018-11-25,80
2018-12-02,86
2018-12-09,82
2018-12-16,86
2018-12-23,100
2018-12-30,94
2019-01-06,82
2019-01-13,86
2019-01-20,81
2019-01-27,81
2019-02-03,81
2019-02-10,83
2019-02-17,86
2019-02-24,85
2019-03-03,84
2019-03-10,85
2019-03-17,85
2019-03-24,87
2019-03-31,86
2019-04-07,84
2019-04-14,86
2019-04-21,86
2019-04-28,87
2019-05-05,87
2019-05-12,89
2019-05-19,90
2019-05-26,89
2019-06-02,89
2019-06-09,90
2019-06-16,91
2019-06-23,94
2019-06-30,100
2019-07-07,92
2019-07-14,94
2019-07-21,95
2019-07-28,94
2019-08-04,89
2019-08-11,92
2019-08-18,91
2019-08-25,86
2019-09-01,86
2019-09-08,85
2019-09-15,87
2019-09-22,85
2019-09-29,86
2019-10-06,85
2019-10-13,87
2019-10-20,86
2019-10-27,82
2019-11-03,86
2019-11-10,86
2019-11-17,84
2019-11-24,88
2019-12-01,79
2019-12-08,81
2019-12-15,83
2019-12-22,99
2019-12-29,95
2020-01-05,90
2020-01-12,88
2020-01-19,91
2020-01-26,89
2020-02-02,86
2020-02-09,89
2020-02-16,92
2020-02-23,94
2020-03-01,89
2020-03-08,90
2020-03-15,92
2020-03-22,88
2020-03-29,90
2020-04-05,93
2020-04-12,93
2020-04-19,92
2020-04-26,92
2020-05-03,94
2020-05-10,92
2020-05-17,90
2020-05-24,88
2020-05-31,90
2020-06-07,89
2020-06-14,94
2020-06-21,96
2020-06-28,97
2020-07-05,95
2020-07-12,96
2020-07-19,100
2020-07-26,99
2020-08-02,99
2020-08-09,98
2020-08-16,95
2020-08-23,94
2020-08-30,93
2020-09-06,94
2020-09-13,90
2020-09-20,91
2020-09-27,91
2020-10-04,92
2020-10-11,95
2020-10-18,96
2020-10-25,93
2020-11-01,76
2020-11-08,91
2020-11-15,97
2020-11-22,98
2020-11-29,90
2020-12-06,89
